time	V(n007)
0.000000000000000e+000	4.315171e+000
5.231584821428577e-006	4.298801e+000
1.046316964285716e-005	4.280465e+000
1.569475446428573e-005	4.260164e+000
2.092633928571431e-005	4.237897e+000
2.615792410714289e-005	4.213665e+000
3.138950892857147e-005	4.187466e+000
3.662109375000003e-005	4.159303e+000
4.150390625000004e-005	4.131476e+000
4.638671875000001e-005	4.102148e+000
5.126953125000002e-005	4.071380e+000
5.615234375000002e-005	4.039238e+000
6.103515625000003e-005	4.005792e+000
6.591796875000003e-005	3.971111e+000
7.080078125000004e-005	3.935272e+000
7.568359375000004e-005	3.898349e+000
8.056640625000004e-005	3.860424e+000
8.544921875000005e-005	3.821576e+000
9.033203125000005e-005	3.781892e+000
9.521484375000006e-005	3.741457e+000
1.000976562500001e-004	3.700359e+000
1.049804687500001e-004	3.658692e+000
1.098632812500001e-004	3.616550e+000
1.147460937500001e-004	3.574029e+000
1.196289062500001e-004	3.531218e+000
1.245117187500001e-004	3.488179e+000
1.293945312500001e-004	3.444940e+000
1.342773437500001e-004	3.401545e+000
1.391601562500001e-004	3.358103e+000
1.440429687500001e-004	3.314770e+000
1.489257812500001e-004	3.271687e+000
1.538085937500001e-004	3.228956e+000
1.586914062500001e-004	3.186666e+000
1.635742187500001e-004	3.144899e+000
1.684570312500001e-004	3.103740e+000
1.733398437500001e-004	3.063270e+000
1.782226562500001e-004	3.023573e+000
1.831054687500001e-004	2.984730e+000
1.879882812500001e-004	2.946823e+000
1.928710937500001e-004	2.909931e+000
1.977539062500002e-004	2.874131e+000
2.026367187500002e-004	2.839499e+000
2.075195312500002e-004	2.806107e+000
2.124023437500002e-004	2.774026e+000
2.172851562500002e-004	2.743324e+000
2.221679687500002e-004	2.714065e+000
2.270507812500002e-004	2.686310e+000
2.319335937500002e-004	2.660120e+000
2.368164062500002e-004	2.635548e+000
2.416992187500002e-004	2.612647e+000
2.514648437500002e-004	2.572048e+000
2.612304687500002e-004	2.538665e+000
2.709960937500002e-004	2.512782e+000
2.807617187500002e-004	2.494618e+000
2.905273437500002e-004	2.484330e+000
3.002929687500002e-004	2.482008e+000
3.100585937500002e-004	2.487673e+000
3.198242187500002e-004	2.501282e+000
3.295898437500002e-004	2.522723e+000
3.393554687500003e-004	2.551816e+000
3.491210937500003e-004	2.588318e+000
3.540039062500003e-004	2.609252e+000
3.588867187500003e-004	2.631919e+000
3.637695312500003e-004	2.656268e+000
3.686523437500003e-004	2.682250e+000
3.735351562500003e-004	2.709809e+000
3.784179687500003e-004	2.738885e+000
3.833007812500003e-004	2.769418e+000
3.881835937500003e-004	2.801343e+000
3.930664062500003e-004	2.834592e+000
3.979492187500003e-004	2.869094e+000
4.028320312500003e-004	2.904776e+000
4.077148437500003e-004	2.941562e+000
4.125976562500003e-004	2.979373e+000
4.174804687500003e-004	3.018129e+000
4.223632812500003e-004	3.057747e+000
4.272460937500003e-004	3.098142e+000
4.321289062500003e-004	3.139227e+000
4.370117187500003e-004	3.180912e+000
4.418945312500003e-004	3.223105e+000
4.467773437500003e-004	3.265714e+000
4.516601562500004e-004	3.308641e+000
4.565429687500004e-004	3.351789e+000
4.614257812500004e-004	3.395069e+000
4.663085937500004e-004	3.438423e+000
4.711914062500004e-004	3.481822e+000
4.760742187500004e-004	3.525221e+000
4.809570312500004e-004	3.568502e+000
4.858398437500004e-004	3.611510e+000
4.907226562500004e-004	3.654109e+000
4.956054687500004e-004	3.696198e+000
5.004882812500004e-004	3.737692e+000
5.053710937500004e-004	3.778510e+000
5.102539062500004e-004	3.818572e+000
5.151367187500004e-004	3.857796e+000
