time	V(n007)
0.000000000000000e+000	4.997724e+000
4.882812500000004e-007	4.997740e+000
3.417968750000003e-006	4.997746e+000
1.708984375000002e-005	4.997732e+000
3.173828125000003e-005	4.997717e+000
4.638671875000001e-005	4.997699e+000
5.126953125000002e-005	4.997682e+000
5.615234375000002e-005	4.995159e+000
6.103515625000003e-005	4.984039e+000
6.138057033757086e-005	4.978028e+000
6.330641327387230e-005	4.907175e+000
6.458594470622287e-005	4.861077e+000
6.666206286891008e-005	4.797218e+000
7.081429919428455e-005	4.693120e+000
7.569711169428455e-005	4.588484e+000
8.057992419428455e-005	4.490434e+000
8.546273669428456e-005	4.392374e+000
9.034554919428456e-005	4.292687e+000
9.522836169428457e-005	4.191248e+000
1.001111741942846e-004	4.088205e+000
1.049939866942846e-004	3.983760e+000
1.098767991942846e-004	3.878137e+000
1.147596116942846e-004	3.771587e+000
1.196424241942846e-004	3.664406e+000
1.245252366942846e-004	3.556912e+000
1.294080491942846e-004	3.449085e+000
1.342908616942846e-004	3.340593e+000
1.391736741942846e-004	3.231692e+000
1.440564866942846e-004	3.123152e+000
1.489392991942846e-004	3.015429e+000
1.538221116942846e-004	2.908676e+000
1.587049241942846e-004	2.803053e+000
1.635877366942846e-004	2.698751e+000
1.684705491942846e-004	2.595981e+000
1.733533616942846e-004	2.494963e+000
1.782361741942846e-004	2.395923e+000
1.831189866942846e-004	2.299102e+000
1.880017991942847e-004	2.204772e+000
1.928846116942847e-004	2.113358e+000
1.977674241942847e-004	2.026230e+000
2.026502366942847e-004	1.959177e+000
2.075330491942847e-004	1.929629e+000
2.122885918231494e-004	1.925027e+000
2.171714043231494e-004	1.925015e+000
2.220542168231494e-004	1.925016e+000
2.367026543231494e-004	1.925027e+000
2.513510918231495e-004	1.925038e+000
2.659995293231495e-004	1.925049e+000
2.806479668231495e-004	1.925061e+000
2.952964043231495e-004	1.925072e+000
3.099448418231495e-004	1.925084e+000
3.245932793231495e-004	1.925096e+000
3.392417168231496e-004	1.925107e+000
3.538901543231496e-004	1.925120e+000
3.685385918231496e-004	1.925132e+000
3.831870293231496e-004	1.925145e+000
3.929526543231496e-004	1.925154e+000
3.978354668231496e-004	1.925164e+000
4.027182793231496e-004	1.934936e+000
4.068822268004802e-004	1.966359e+000
4.071158351372918e-004	1.974082e+000
4.075830518109148e-004	1.999414e+000
4.085174851581610e-004	2.046303e+000
4.103275255546954e-004	2.121559e+000
4.139476063477642e-004	2.236614e+000
4.187022754219962e-004	2.354830e+000
4.234534594290300e-004	2.457907e+000
4.283362719290301e-004	2.560686e+000
4.332190844290301e-004	2.664223e+000
4.381018969290301e-004	2.769026e+000
4.429847094290301e-004	2.875001e+000
4.478675219290301e-004	2.981944e+000
4.527503344290301e-004	3.089617e+000
4.576331469290301e-004	3.197751e+000
4.625159594290301e-004	3.306021e+000
4.673987719290301e-004	3.414193e+000
4.722815844290301e-004	3.522497e+000
4.771643969290301e-004	3.631122e+000
4.820472094290301e-004	3.739476e+000
4.869300219290301e-004	3.846862e+000
4.918128344290301e-004	3.953013e+000
4.966956469290301e-004	4.057789e+000
5.015784594290301e-004	4.161016e+000
5.064612719290301e-004	4.262496e+000
5.113440844290301e-004	4.362020e+000
5.162268969290301e-004	4.459371e+000
5.211097094290301e-004	4.554321e+000
5.259925219290301e-004	4.646631e+000
5.308753344290301e-004	4.736014e+000
5.357581469290301e-004	4.821984e+000
5.406409594290302e-004	4.902925e+000
5.455237719290302e-004	4.964993e+000
5.504065844290302e-004	4.993091e+000
5.550866578166638e-004	4.997825e+000
5.599694703166638e-004	4.997846e+000
5.648522828166638e-004	4.997844e+000
5.795007203166638e-004	4.997833e+000
5.941491578166638e-004	4.997822e+000
6.087975953166638e-004	4.997811e+000
6.234460328166638e-004	4.997799e+000
6.380944703166638e-004	4.997787e+000
6.527429078166639e-004	4.997775e+000
6.673913453166639e-004	4.997762e+000
