time	V(n007)
0.000000000000000e+000	2.760472e+000
9.207589285714341e-005	2.776285e+000
1.841517857142868e-004	2.793595e+000
2.762276785714302e-004	2.812403e+000
3.683035714285736e-004	2.832709e+000
4.603794642857170e-004	2.854513e+000
5.524553571428604e-004	2.877815e+000
6.445312500000036e-004	2.902615e+000
7.617187500000046e-004	2.936059e+000
8.789062500000056e-004	2.971577e+000
9.960937500000065e-004	3.009032e+000
1.113281250000008e-003	3.048275e+000
1.230468750000009e-003	3.089154e+000
1.347656250000009e-003	3.131507e+000
1.464843750000010e-003	3.175170e+000
1.582031250000011e-003	3.219970e+000
1.699218750000012e-003	3.265732e+000
1.816406250000013e-003	3.312275e+000
1.933593750000014e-003	3.359419e+000
2.050781250000015e-003	3.406979e+000
2.167968750000016e-003	3.454772e+000
2.285156250000017e-003	3.502617e+000
2.402343750000018e-003	3.550323e+000
2.519531250000019e-003	3.597696e+000
2.636718750000020e-003	3.644550e+000
2.753906250000021e-003	3.690701e+000
2.871093750000022e-003	3.735970e+000
2.988281250000023e-003	3.780179e+000
3.105468750000024e-003	3.823155e+000
3.222656250000025e-003	3.864731e+000
3.339843750000026e-003	3.904743e+000
3.457031250000027e-003	3.943036e+000
3.574218750000028e-003	3.979458e+000
3.691406250000029e-003	4.013868e+000
3.808593750000030e-003	4.046131e+000
3.925781250000031e-003	4.076119e+000
4.042968750000032e-003	4.103717e+000
4.160156250000033e-003	4.128816e+000
4.277343750000034e-003	4.151317e+000
4.394531250000035e-003	4.171131e+000
4.511718750000036e-003	4.188183e+000
4.628906250000037e-003	4.202404e+000
4.746093750000038e-003	4.213739e+000
4.863281250000039e-003	4.222144e+000
4.980468750000040e-003	4.227585e+000
5.097656250000041e-003	4.230041e+000
5.214843750000042e-003	4.229503e+000
5.332031250000043e-003	4.225972e+000
5.449218750000043e-003	4.219462e+000
5.566406250000044e-003	4.209999e+000
5.683593750000045e-003	4.197619e+000
5.800781250000046e-003	4.182372e+000
5.917968750000047e-003	4.164316e+000
6.035156250000048e-003	4.143522e+000
6.152343750000049e-003	4.120072e+000
6.269531250000050e-003	4.094057e+000
6.386718750000051e-003	4.065579e+000
6.503906250000052e-003	4.034750e+000
6.621093750000053e-003	4.001689e+000
6.738281250000054e-003	3.966528e+000
6.855468750000055e-003	3.929402e+000
6.972656250000056e-003	3.890459e+000
7.089843750000057e-003	3.849849e+000
7.207031250000058e-003	3.807732e+000
7.324218750000059e-003	3.764273e+000
7.441406250000060e-003	3.719643e+000
7.558593750000061e-003	3.674016e+000
7.675781250000062e-003	3.627571e+000
7.792968750000063e-003	3.580491e+000
7.910156250000064e-003	3.532959e+000
8.027343750000065e-003	3.485158e+000
8.144531250000066e-003	3.437270e+000
8.261718750000067e-003	3.389484e+000
8.378906250000068e-003	3.341991e+000
8.496093750000069e-003	3.294981e+000
8.613281250000070e-003	3.248638e+000
8.730468750000071e-003	3.203143e+000
8.847656250000072e-003	3.158673e+000
8.964843750000073e-003	3.115403e+000
9.082031250000074e-003	3.073500e+000
9.199218750000075e-003	3.033130e+000
9.316406250000076e-003	2.994449e+000
9.433593750000077e-003	2.957610e+000
9.550781250000077e-003	2.922756e+000
9.667968750000078e-003	2.890024e+000
9.785156250000079e-003	2.859541e+000
9.902343750000080e-003	2.831428e+000
1.001953125000008e-002	2.805793e+000
1.013671875000008e-002	2.782738e+000
1.025390625000008e-002	2.762352e+000
1.037109375000008e-002	2.744715e+000
1.048828125000009e-002	2.729897e+000
1.060546875000009e-002	2.717954e+000
1.072265625000009e-002	2.708935e+000
1.083984375000009e-002	2.702874e+000
1.095703125000009e-002	2.699794e+000
1.107421875000009e-002	2.699708e+000
1.119140625000009e-002	2.702616e+000
1.130859375000009e-002	2.708507e+000
1.142578125000009e-002	2.717357e+000
1.154296875000009e-002	2.729132e+000
