time	V(n007)
0.000000000000000e+000	3.674949e+000
6.626674107142861e-006	3.669660e+000
1.325334821428572e-005	3.663600e+000
1.988002232142858e-005	3.656769e+000
2.650669642857145e-005	3.649167e+000
3.313337053571430e-005	3.640795e+000
3.976004464285717e-005	3.631651e+000
4.638671875000001e-005	3.621737e+000
5.126953125000002e-005	3.614053e+000
5.615234375000002e-005	3.606025e+000
6.103515625000003e-005	3.597671e+000
6.591796875000003e-005	3.589008e+000
7.080078125000004e-005	3.580056e+000
7.568359375000004e-005	3.570834e+000
8.056640625000004e-005	3.561360e+000
8.544921875000005e-005	3.551655e+000
9.033203125000005e-005	3.541739e+000
9.521484375000006e-005	3.531634e+000
1.000976562500001e-004	3.521360e+000
1.049804687500001e-004	3.510939e+000
1.098632812500001e-004	3.500392e+000
1.147460937500001e-004	3.489743e+000
1.196289062500001e-004	3.479011e+000
1.245117187500001e-004	3.468220e+000
1.293945312500001e-004	3.457393e+000
1.342773437500001e-004	3.446551e+000
1.391601562500001e-004	3.435718e+000
1.440429687500001e-004	3.424917e+000
1.489257812500001e-004	3.414171e+000
1.538085937500001e-004	3.403505e+000
1.586914062500001e-004	3.392940e+000
1.635742187500001e-004	3.382501e+000
1.684570312500001e-004	3.372209e+000
1.733398437500001e-004	3.362087e+000
1.782226562500001e-004	3.352156e+000
1.831054687500001e-004	3.342438e+000
1.879882812500001e-004	3.332952e+000
1.928710937500001e-004	3.323721e+000
1.977539062500002e-004	3.314763e+000
2.026367187500002e-004	3.306096e+000
2.124023437500002e-004	3.289711e+000
2.221679687500002e-004	3.274706e+000
2.319335937500002e-004	3.261206e+000
2.416992187500002e-004	3.249326e+000
2.514648437500002e-004	3.239167e+000
2.661132812500002e-004	3.227338e+000
2.807617187500002e-004	3.219795e+000
2.954101562500002e-004	3.216681e+000
3.100585937500002e-004	3.218057e+000
3.247070312500002e-004	3.223896e+000
3.393554687500003e-004	3.234087e+000
3.491210937500003e-004	3.243207e+000
3.588867187500003e-004	3.254099e+000
3.686523437500003e-004	3.266671e+000
3.784179687500003e-004	3.280818e+000
3.881835937500003e-004	3.296419e+000
3.930664062500003e-004	3.304723e+000
3.979492187500003e-004	3.313341e+000
4.028320312500003e-004	3.322253e+000
4.077148437500003e-004	3.331442e+000
4.125976562500003e-004	3.340886e+000
4.174804687500003e-004	3.350567e+000
4.223632812500003e-004	3.360464e+000
4.272460937500003e-004	3.370556e+000
4.321289062500003e-004	3.380822e+000
4.370117187500003e-004	3.391240e+000
4.418945312500003e-004	3.401789e+000
4.467773437500003e-004	3.412446e+000
4.516601562500004e-004	3.423190e+000
4.565429687500004e-004	3.433998e+000
4.614257812500004e-004	3.444848e+000
4.663085937500004e-004	3.455718e+000
4.711914062500004e-004	3.466585e+000
4.760742187500004e-004	3.477427e+000
4.809570312500004e-004	3.488219e+000
4.858398437500004e-004	3.498940e+000
4.907226562500004e-004	3.509566e+000
4.956054687500004e-004	3.520073e+000
5.004882812500004e-004	3.530440e+000
5.053710937500004e-004	3.540644e+000
5.102539062500004e-004	3.550662e+000
5.151367187500004e-004	3.560473e+000
5.200195312500004e-004	3.570056e+000
5.249023437500004e-004	3.579392e+000
5.297851562500004e-004	3.588459e+000
5.346679687500004e-004	3.597240e+000
5.395507812500004e-004	3.605715e+000
5.444335937500004e-004	3.613866e+000
5.541992187500004e-004	3.629131e+000
5.639648437500005e-004	3.642905e+000
5.737304687500005e-004	3.655074e+000
5.834960937500005e-004	3.665534e+000
5.932617187500005e-004	3.674198e+000
6.079101562500005e-004	3.683671e+000
6.225585937500005e-004	3.688765e+000
6.372070312500005e-004	3.689383e+000
6.518554687500005e-004	3.685516e+000
6.665039062500005e-004	3.677240e+000
6.762695312500006e-004	3.669347e+000
6.860351562500006e-004	3.659631e+000
6.958007812500006e-004	3.648175e+000
7.055664062500006e-004	3.635075e+000
7.153320312500006e-004	3.620444e+000
7.202148437500006e-004	3.612593e+000
7.250976562500006e-004	3.604406e+000
7.299804687500006e-004	3.595902e+000
7.348632812500006e-004	3.587098e+000
7.397460937500006e-004	3.578013e+000
7.446289062500006e-004	3.568666e+000
7.495117187500006e-004	3.559078e+000
7.543945312500006e-004	3.549267e+000
7.592773437500006e-004	3.539256e+000
7.641601562500006e-004	3.529066e+000
7.690429687500006e-004	3.518716e+000
7.739257812500006e-004	3.508230e+000
7.788085937500006e-004	3.497629e+000
7.836914062500005e-004	3.486934e+000
7.885742187500004e-004	3.476169e+000
7.934570312500003e-004	3.465354e+000
7.983398437500002e-004	3.454514e+000
8.032226562500001e-004	3.443669e+000
8.081054687500000e-004	3.432845e+000
8.129882812499999e-004	3.422063e+000
8.178710937499998e-004	3.411348e+000
8.227539062499997e-004	3.400723e+000
8.276367187499996e-004	3.390209e+000
8.325195312499995e-004	3.379832e+000
8.374023437499994e-004	3.369612e+000
8.422851562499993e-004	3.359573e+000
8.471679687499992e-004	3.349734e+000
8.520507812499991e-004	3.340118e+000
8.569335937499990e-004	3.330745e+000
8.618164062499989e-004	3.321635e+000
8.666992187499988e-004	3.312806e+000
8.715820312499987e-004	3.304278e+000
8.813476562499985e-004	3.288195e+000
8.911132812499982e-004	3.273521e+000
9.008789062499980e-004	3.260382e+000
9.106445312499978e-004	3.248887e+000
9.204101562499976e-004	3.239135e+000
9.350585937499973e-004	3.227948e+000
9.497070312499970e-004	3.221074e+000
9.643554687499967e-004	3.218646e+000
9.790039062499963e-004	3.220708e+000
9.936523437499960e-004	3.227222e+000
1.008300781249996e-003	3.238063e+000
1.018066406249995e-003	3.247596e+000
1.027832031249995e-003	3.258882e+000
1.037597656249995e-003	3.271824e+000
1.047363281249995e-003	3.286314e+000
1.057128906249995e-003	3.302227e+000
1.062011718749995e-003	3.310676e+000
1.066894531249994e-003	3.319430e+000
1.071777343749994e-003	3.328470e+000
1.076660156249994e-003	3.337776e+000
1.081542968749994e-003	3.347330e+000
1.086425781249994e-003	3.357111e+000
1.091308593749994e-003	3.367098e+000
1.096191406249994e-003	3.377270e+000
1.101074218749994e-003	3.387606e+000
1.105957031249994e-003	3.398084e+000
1.110839843749994e-003	3.408682e+000
1.115722656249993e-003	3.419379e+000
1.120605468749993e-003	3.430152e+000
1.125488281249993e-003	3.440979e+000
1.130371093749993e-003	3.451838e+000
1.135253906249993e-003	3.462707e+000
1.140136718749993e-003	3.473562e+000
1.145019531249993e-003	3.484380e+000
1.149902343749993e-003	3.495139e+000
1.154785156249993e-003	3.505815e+000
1.159667968749992e-003	3.516385e+000
1.164550781249992e-003	3.526827e+000
1.169433593749992e-003	3.537116e+000
1.174316406249992e-003	3.547232e+000
1.179199218749992e-003	3.557153e+000
1.184082031249992e-003	3.566857e+000
1.188964843749992e-003	3.576324e+000
1.193847656249992e-003	3.585533e+000
1.198730468749992e-003	3.594465e+000
1.203613281249992e-003	3.603101e+000
1.208496093749991e-003	3.611424e+000
1.218261718749991e-003	3.627058e+000
1.228027343749991e-003	3.641234e+000
1.237792968749991e-003	3.653835e+000
1.247558593749991e-003	3.664752e+000
1.257324218749990e-003	3.673896e+000
1.271972656249990e-003	3.684122e+000
1.286621093749990e-003	3.689993e+000
1.301269531249989e-003	3.691400e+000
1.315917968749989e-003	3.688317e+000
1.330566406249989e-003	3.680805e+000
1.340332031249989e-003	3.673404e+000
1.350097656249988e-003	3.664160e+000
1.359863281249988e-003	3.653152e+000
1.369628906249988e-003	3.640474e+000
